ui_charamake_parts.text was created: 2024/1/31 7:10:21
Filesize is: 1017024 bytes

arm
Group 0
No00000 - なし
No203410 - ￥サモナーデフォルト女[Se]ＭＶ（肩のパーツなしver）　ＴＶ１　Ｃ１　アーム
No204290 - ￥サモナーデフォルト女[Se]ＭＶ（肩のパーツなしver）　ＴＶ２　Ｃ１　アーム
No300010 - ディガーン・アーム
No300011 - ディガーン・アーム/2
No300030 - ザンナ・アーム
No300031 - ザンナ・アーム/2
No300040 - デザンナ・アーム
No300041 - デザンナ・アーム/2
No300050 - ギャレスト・アーム
No300051 - ギャレスト・アーム/2
No300060 - カタフラーク・アーム
No300061 - カタフラーク・アーム/2
No300070 - ヴェテルノ・アーム
No300071 - ヴェテルノ・アーム/2
No300080 - アクラオ・アーム
No300081 - アクラオ・アーム/2
No300090 - ディガーン・アーム/B
No300091 - ディガーン・アーム/B2
No300120 - ザンナ・アーム/B
No300121 - ザンナ・アーム/B2
No300140 - ギャレスト・アーム/B
No300141 - ギャレスト・アーム/B2
No300150 - ヴェテルノ・アーム/B
No300151 - ヴェテルノ・アーム/B2
No300160 - カタフラーク・アーム/B
No300161 - カタフラーク・アーム/B2
No300170 - アクラオ・アーム/B
No300171 - アクラオ・アーム/B2
No300180 - カタフラーク・アームUC
No300190 - ドゥーカー・アーム
No300200 - ヴェテルノ・アームUC
No300209 - ￥チャッピー的戦闘兵器TV3（ＮＰＣモフセンver）NPC用　アーム
No300210 - ヴェテルノ・アームUC/B
No300220 - トイフェント・アーム
No300230 - トイフェント・アーム/B
No300240 - ドゥーカー・アーム/B
No300250 - フーディー・アーム
No300260 - N-ライナー・アーム
No300270 - N-クリミナル・アーム
No300280 - N-シュバル・アーム
No300290 - N-エグザギア・アーム
No300300 - N-ゴルンレオ・アーム
No300320 - ヴァンダーファルクス・アーム
No300330 - エンヴォージャー・アーム
No300360 - インフェルド・アーム
No300370 - N-クリミナル・アーム/B
No300380 - N-シュバル・アーム/B
No300390 - N-シュバル・アーム/C
No300400 - フーディー・アーム/B
No300410 - N-ライナー・アーム/B
No300430 - N-エグザギア・アーム/B
No300440 - ￥インフェルド・アーム/B
No300480 - N-ライナー・アームAF
No300490 - アルガスレイ・アーム
No300500 - ドゥーカー・アームUC
No300510 - ヴェテルノ・アームUC/B
No300520 - シュディング・アーム
No300530 - アドミニアル・アーム
No300539 - アドミニアル・アーム NPC
No300540 - テスカトーラス・アーム
No300550 - N-エグザギア・アーム/C
No300560 - ヴォルガルド・アーム
No300570 - ￥インフェルド・アームAF/B
No300590 - ディガーン・アームUC
No300600 - ディガーン・アームAF
No300610 - N-エグザギア・アーム/D
No300620 - ザンナ・アームAF
No300640 - アルガスレイ・アーム/B
No300670 - ￥トイフェント・シリーズ　ＴＶ３(迷彩)　アーム
No300680 - レイスターン・アーム
No300690 - レイスターン・アーム/B
No300700 - ガルネージ・アーム
No300710 - ガルネージ・アーム/B
No300720 - ライカンスローダ・アーム
No300730 - ライカンスローダ・アーム/B
No300770 - ディノレックス・アーム
No300810 - アクラオ・アームUC
No300820 - アクラオ・アームMF
No300830 - ガルネージ・アームV2
No300840 - ガルネージ・アームV2/B
No300850 - ギャレスト・アームUC
No300860 - ギャレスト・アームMF
No300870 - トラバークル・アーム
No300890 - フレズヴェルク＝アーテル・アーム
