ui_tutorial_reb.text was created: 2024/6/5 7:16:19
Filesize is: 18688 bytes

TitleName
Group 0
tut_006207 - レスタサイン
tut_006208 - サブパレット
tut_006213 - ロックオン／ロックオン切り替え
tut_006219 - 通常攻撃によるPP回復
tut_006221 - アイテムコンテナ
tut_006222 - アイテムパック
tut_006223 - 防具装備
tut_006225 - 弱点属性
tut_006226 - 弱点部位
tut_006229 - Ｅマーカー
tut_006230 - マルチプレイ
tut_006231 - コクーン
tut_006232 - ウォールキック
tut_006233 - サブパレットのカスタマイズ
tut_006234 - フォトンブラスト
tut_006235 - スキルポイント
tut_006236 - クラスカウンター
tut_006237 - スキルツリー
tut_006238 - スキルリセット
tut_006239 - ハンター
tut_006240 - レンジャー
tut_006241 - フォース
tut_006242 - ファイター
tut_006243 - ガンナー
tut_006244 - テクター
tut_006245 - アークスキャッシュとACショップ
tut_006246 - スタージェムとSGショップ
tut_006247 - ステップカウンター
tut_006248 - 大剣（ソード）
tut_006249 - 長槍（パルチザン）
tut_006250 - 自在槍（ワイヤードランス）
tut_006251 - 長銃（ライフル）
tut_006252 - 大砲（ランチャー）
tut_006253 - 長杖（ロッド）
tut_006254 - 導具（タリス）
tut_006255 - 鋼拳（ナックル）
tut_006256 - 両剣（ダブルセイバー）
tut_006257 - 双小剣（ツインダガー）
tut_006258 - 双機銃（ツインマシンガン）
tut_006259 - 短杖（ウォンド）
tut_006261 - 倉庫
tut_006262 - 『PSO2』との共有要素
tut_006263 - 武器装備
tut_006264 - メインパレットの切り替え
tut_006265 - サブパレットの切り替え
tut_006266 - メインタスク
tut_006267 - サイドタスク
tut_006268 - リューカーデバイス
tut_006269 - テレポート
tut_006270 - ワールドマップ
tut_006271 - 探索セクション
tut_006272 - ギャザリング
tut_006273 - テイムズ
tut_006274 - クイックフード
tut_006275 - セクション情報
tut_006276 - クイックメニュー
tut_006277 - メインパレットのカスタマイズ
tut_006278 - 武器や防具の強化
tut_006280 - 戦闘力
tut_006281 - デイリー・ウィークリータスク
tut_006283 - タスクのガイド情報
tut_006284 - ミッションパス
tut_006285 - パーティー
tut_006287 - リバーサーサイン
tut_006288 - アークスカード
tut_006289 - スタンプ
tut_006290 - チャット
tut_006291 - ロビーアクション
tut_006293 - 直前の操作の取り消しとやり直し
tut_006294 - パラメーター
tut_006295 - 戦闘不能メニュー
tut_006296 - トライアル
tut_006297 - 天候
tut_006298 - オーディナルタワー
tut_006299 - エステ
tut_006300 - クエスト倉庫
tut_006301 - ドロップ倉庫
tut_006302 - ブロック移動
tut_006304 - モーション変更
tut_006305 - フレンドリスト
tut_006306 - ショートカットワード
tut_006307 - オートワード
tut_006308 - アークスサーチ
tut_006309 - グループチャット
tut_006310 - シンボルアート
tut_006311 - 操作設定
tut_006312 - クエストの破棄
tut_006313 - ブーストアイテム
tut_006314 - ファッションチケット
tut_006315 - マグ
tut_006316 - プリセット能力
tut_006318 - スクラッチ
tut_006319 - アイテム交換ショップ
tut_006320 - 称号
tut_006321 - 戦闘セクション
tut_006322 - サブクラス
tut_006324 - PSE
tut_006325 - レアエネミー
tut_006326 - 特殊能力追加
tut_006329 - 潜在能力解放
tut_006330 - 限界突破
tut_006331 - リージョンマグ
tut_006333 - クエストカウンター
tut_006335 - チャレンジ設定：コクーン
tut_006336 - ドローム
tut_006337 - タワー
tut_006338 - エンハンスドエネミー
tut_006339 - マルチウェポン
tut_006340 - バトルディア：イエロー
tut_006341 - ワールドトライアル
tut_006342 - 緊急クエスト
tut_006343 - ギガンティクス
tut_006344 - プロテクトコンテナ
tut_006350 - 物理ダウン／属性ダウン
tut_006351 - バトルディア：パープル
tut_006352 - 天候によるエネミー強化
tut_006353 - デイナイトシフト
tut_006354 - ボスエネミー
tut_006356 - テクニック
tut_006357 - PA（フォトンアーツ）
tut_006358 - 移動アクションの操作
tut_006359 - 攻撃アクションの操作
tut_006360 - リージョン
tut_006361 - アセンブリーポイント掃討
tut_006362 - ドールズ管制機トライアル
tut_006363 - クエスト即時開始の提案
tut_006364 - ダウンゲージ
tut_006365 - マッチング
tut_006366 - 緊急クエストの受注
tut_006367 - メッセージパック
tut_006368 - アップドラフター
tut_006369 - アクティブソナー
tut_006370 - エネミー討伐トライアル
tut_006371 - ステラーギフトトライアル
tut_006372 - 防衛トライアル
tut_006378 - パスワードマッチング
tut_006379 - マイショップ
tut_006390 - ドールズ
tut_006397 - クラススキル
tut_006398 - 戦闘力の上げ方・１
tut_006399 - かんたん操作
tut_006403 - ドレッドエネミー
tut_006404 - ハイランクセクション
tut_006405 - ステラーグレイス回収作戦
tut_006408 - 戦闘力の上げ方・２
tut_006409 - 戦闘力の上げ方・３
tut_006411 - 資源採掘リグ防衛戦：エアリオ
tut_006412 - デリバリーデバイス
tut_006413 - ドールズウェポン
tut_006414 - コレクトサイン
tut_006415 - 資源採掘リグの機能
tut_006416 - サドンインシデント
tut_006418 - モバイルキャノン
tut_006419 - アドバイス
tut_006421 - ブレイバー
tut_006422 - 抜剣（カタナ）
tut_006423 - 強弓（バレットボウ）
tut_006431 - バウンサー
tut_006432 - 魔装脚(ジェットブーツ)
tut_006433 - 飛翔剣(デュアルブレード)
tut_006434 - アルターズ
tut_006435 - フォーマーズ
tut_006451 - 受け身
tut_006452 - ラッピー
tut_006453 - N-エクスキューブ
tut_006454 - リアメイのサイドタスク
tut_006455 - ルームマッチング設定
tut_006456 - 暴風域エネミー討伐トライアル
tut_006457 - トランザーヴ破壊トライアル
tut_006462 - スターレス
tut_006463 - プレミアムセット
tut_006465 - カラーバリアント武器
tut_006466 - マグのカラー設定
tut_006467 - ロナルディンのタスク
tut_006468 - 状態異常
tut_006471 - フローティングボード
